Category,Film,Nominee,Winner,Year,Rating_IMDB,Release_date,Rating_rtaudience,Rating_rtcritic,Oscarstat_totalnoms,Release_Q1,Release_Q2,Release_Q3,Release_Q4,Nom_BAFTA,Win_BAFTA,Nom_GoldenGlobe_comedy-leadacting,Win_GoldenGlobe_comedy-leadacting,Nom_GoldenGlobe_drama-leadacting,Win_GoldenGlobe_drama-leadacting,Nom_GoldenGlobe_supportingacting,Win_GoldenGlobe_supportingacting,Oscarstat_previousnominations_acting,Oscarstat_previouswins_acting,Oscarstat_previousnominee_acting,Oscarstat_previouswinner_acting,Nom_Oscar_bestfilm,Birthyear,Age,Age_[0-25],Age_[25-35],Age_[35-45],Age_[45-55],Age_[55-65],Age_[65-75] ,Age_[75+] ,Genre_action,Genre_adventure,Genre_biography,Genre_crime,Genre_comedy,Genre_drama,Genre_horror,Genre_fantasy,Genre_sci-fi,Genre_mystery,Genre_music,Genre_romance,Genre_history,Genre_thriller,Genre_war,Genre_sport,Genre_family,Genre_filmnoir,Genre_western,MPAA_rating,MPAA_G,MPAA_PG,MPAA_PG-13,MPAA_R,MPAA_NC-17,Nowin_Criticschoice,Win_Criticschoice,Nonom_Criticschoice,Nom_Criticschoice,Nowin_SAG_acting,Win_SAG_acting,Nonom_SAG_acting,Nom_SAG_acting,Nowin_SAG_bestcast,Win_SAG_bestcast,Nonom_SAG_bestcast,Nom_SAG_bestcast,Female
Actor,Elmer Gantry,Burt Lancaster,1,1961,7.9,1960-07,86.0,96.0,5,0,0,1,0,1,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,1,1913.0,48.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Sons and Lovers,Trevor Howard,0,1961,7.3,1960-07-22,54.0,75.0,7,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,1913.0,48.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,The Apartment,Jack Lemmon,0,1961,8.3,1960-09-16,94.0,93.0,10,0,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1925.0,36.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,The Entertainer,Laurence Olivier,0,1961,7.2,1960-12-02,73.0,89.0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1907.0,54.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actor,Inherit the Wind,Spencer Tracy,0,1961,7.48447814451382,1960-10,91.0,91.0,4,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1900.0,61.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actress,The Apartment,Shirley MacLaine,0,1961,8.3,1960-09-16,94.0,93.0,10,0,0,1,0,1,1,1.0,1.0,0.0,0.0,0,0,0,0,0,0,1,1934.0,27.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,APPROVED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,BUtterfield 8,Elizabeth Taylor,1,1961,6.4,1960-11-04,58.0,47.0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1932.0,29.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,Sunrise at Campobello,Greer Garson,0,1961,7.1,1960-09-28,56.0,100.0,4,0,0,1,0,0,0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1904.0,57.0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NOT RATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,The Sundowners,Deborah Kerr,0,1961,7.2,1961-02-28,62.0,78.0,5,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1921.0,40.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,UNRATED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Actress,Never on Sunday,Melina Mercouri,0,1961,7.4,1960-10-01,83.0,88.0,4,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1920.0,41.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
